blind_code,feature_at_crosshair,morphology,local_context,confidence_1_to_5,notes
B001,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B002,ABSENT,AMBIGUOUS,CLEAN,5,
B003,WEAK_OR_AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,5,
B004,WEAK_OR_AMBIGUOUS,STELLAR_COMPACT,EDGE_OR_CLIPPED,3,
B005,DEFINITE,STELLAR_COMPACT,EDGE_OR_CLIPPED,4,
B006,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B007,ABSENT,AMBIGUOUS,AMBIGUOUS,4,
B008,DEFINITE,STELLAR_COMPACT,EDGE_OR_CLIPPED,4,
B009,WEAK_OR_AMBIGUOUS,AMBIGUOUS,AMBIGUOUS,3,
B010,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B011,ABSENT,AMBIGUOUS,CLEAN,3,
B012,WEAK_OR_AMBIGUOUS,STELLAR_COMPACT,CROWDED,2,
B013,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B014,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B015,WEAK_OR_AMBIGUOUS,AMBIGUOUS,EDGE_OR_CLIPPED,3,
B016,WEAK_OR_AMBIGUOUS,AMBIGUOUS,CROWDED,4,
B017,DEFINITE,STELLAR_COMPACT,CROWDED,4,
B018,ABSENT,AMBIGUOUS,AMBIGUOUS,4,
B019,WEAK_OR_AMBIGUOUS,STELLAR_COMPACT,EDGE_OR_CLIPPED,3,possible misaligned crosshair; partial coverage
B020,WEAK_OR_AMBIGUOUS,EXTENDED_OR_BLENDED,AMBIGUOUS,3,
B021,ABSENT,AMBIGUOUS,CROWDED,3,
B022,DEFINITE,EXTENDED_OR_BLENDED,AMBIGUOUS,2,
B023,DEFINITE,STELLAR_COMPACT,AMBIGUOUS,3,
B024,WEAK_OR_AMBIGUOUS,STELLAR_COMPACT,CLEAN,4,crosshair not-centred; possible red herring.
B025,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B026,ABSENT,AMBIGUOUS,AMBIGUOUS,4,
B027,ABSENT,AMBIGUOUS,CLEAN,3,"Object is just below crosshair (possible edge overlap), could be a crosshair misalignment, could be a false positive."
B028,DEFINITE,STELLAR_COMPACT,CLEAN,5,
B029,ABSENT,AMBIGUOUS,AMBIGUOUS,3,"Object is just above crosshair (possible edge overlap), could be a crosshair misalignment, could be a false positive."
B030,DEFINITE,STELLAR_COMPACT,CLEAN,3,crosshair not-centred; possible red herring
B031,DEFINITE,STELLAR_COMPACT,CLEAN,3,crosshair not-centred; possible red herring
B032,DEFINITE,STELLAR_COMPACT,CLEAN,4,
