rank,exposure,other,status,notes
1,POSS-I:413:E,ai43437,negative_nine_tile_sample,"Nine fixed 20-arcmin tiles: 16 official DASCH detections, all reference-catalogued; zero unmatched sources"
2,POSS-I:368:E,ai43330,negative_nine_tile_sample,"Nine fixed 20-arcmin DASCH tiles: 37 official detections, one non-reference/reject=0 near-limit object at RA358.801152 Dec50.173352; absent on simultaneous E368 (max 1.65sigma) and preceding O368 (1.34sigma), so no two-observatory transient"
3,POSS-I:606:E,fa12998,negative_catalogue_pixel_pending,"Nine fixed tiles: zero official DR7 platephot detections; catalogue-level negative only, pixel confirmation pending."
4,POSS-I:320:E,ka02524,negative_nine_tile_sample,"Nine fixed tiles: 2 official Harvard detections, both reference-catalogued; zero unmatched."
5,POSS-I:1102:E,ai44467,negative_nine_tile_sample,"Nine fixed tiles: 4 official Harvard detections, all reference-catalogued; zero unmatched."
6,POSS-I:236:E,fa12528,pixel_center_negative,Centre tile frozen pixel detector: 11 <=3 arcsec H/E matches; 9 Gaia + 2 Pan-STARRS static counterparts; no survivor.
7,POSS-I:320:E,kh00192,negative_nine_tile_sample,"Nine tiles: 8 unmatched Harvard detections, all reject_flag=5; none reaches 4sigma on contemporaneous E320 (max 3.04sigma)."
8,POSS-I:320:E,ai43280,negative_nine_tile_sample,Nine tiles: 12 unmatched Harvard detections. Ten lack >=4sigma E320 counterpart; one strong POSS counterpart is Gaia static star (~5.6in); one 4.27sigma POSS counterpart has Pan-STARRS sources at 5.8/6.2in; no transient.
9,POSS-I:293:E,kh00158,pixel_center_negative,"Centre tile exact-epoch POSS plate checked; 15 <=3 arcsec H/E matches, all explained by Gaia within ~0.7-3.4 arcsec."
10,POSS-I:340:E,ai43301,negative_nine_tile_sample,"Nine fixed tiles: 10 official Harvard detections total, all reference-catalogued; zero unmatched."
11,POSS-I:407:E,ka02643,negative_calibrated_depth,"True WCS; official DASCH platephot 6 sources, all static/catalogued; no unmatched source to local ~12.4-12.9 mag"
12,POSS-I:306:E,ai43241,pixel_center_followup,Centre tile: 8 <=3 arcsec H/E matches; one retained as likely bright-star/plate-structure morphology case DEF-004; full grid pixel follow-up pending.
13,POSS-I:318:E,ka02504,pixel_center_followup,"Centre tile: 11 <=3 arcsec H/E matches; three retained for morphology review (DEF-005/006/007), strongest DEF-006; full grid pending."
14,POSS-I:1103:E,ai44469,negative_nine_tile_sample,"Nine fixed sample tiles: 8 official DASCH detections total (1+6+1), all reference-catalogued; zero unmatched Harvard sources."
15,POSS-I:779:E,fa13177,pixel_center_followup,Centre tile: 8 <=3 arcsec H/E matches; one opposite-polarity catalogue-unmatched morphology case retained as DEF-008; full grid pending.
16,POSS-I:782:E,fa13182,pixel_center_negative,Centre tile crowded-field check: 82 <=3 arcsec H/E matches; all 82 have Gaia counterparts within 3 arcsec; no survivor. STScI E782 DATE-OBS 06:17 gives ~5 min midpoint delta; VI/25 remains primary timing (~2 min).
17,POSS-I:876:E,fa13273,negative_nine_tile_sample,Nine fixed sample tiles: 53 official DASCH detections total; all reference-catalogued; zero unmatched Harvard sources.
18,POSS-I:976:E,ai44227,negative_nine_tile_sample,Nine fixed sample tiles: 13 official DASCH detections total; all reference-catalogued; zero unmatched Harvard sources.
19,POSS-I:832:E,fa13203,negative_nine_tile_sample,Nine fixed sample tiles: 34 official DASCH detections total; all reference-catalogued; zero unmatched Harvard sources.
20,POSS-I:875:E,ai44092,negative_nine_tile_sample,Nine fixed sample tiles: 13 official DASCH detections total; all reference-catalogued; zero unmatched Harvard sources.
21,POSS-I:985:E,ai44244,pixel_center_negative,"Centre tile: 13 <=3 arcsec H/E matches; 12 Gaia <=3 arcsec, final Gaia 3.15 arcsec confirmed Pan-STARRS at 0.36 arcsec. No survivor. STScI region XE726/FITS E986 corresponds VI/25 POSS=985 record."
22,POSS-I:1024:E,ai44307,negative_nine_tile_sample,Nine fixed sample tiles: 1 official DASCH detection total; reference-catalogued; zero unmatched Harvard sources.
23,POSS-I:1023:O,ai44304,pixel_center_followup,Centre tile: 6 <=3 arcsec H/O matches. Gaia explains 1; E1023 + Pan-STARRS explain 3 more. Two same-negative-polarity catalogue-unmatched cases retained as DEF-009/DEF-010; full grid pending.
24,POSS-I:872:O,fa13267,pixel_center_negative,Centre pixel check: 62 <=3 arcsec Harvard/O872 matches; 51 have Gaia <=3.5 arcsec and all remaining 11 have Gaia <=4.93 arcsec. No catalogue-unmatched survivor; no defect case retained. Full-grid pixel sampling remains optional/deeper follow-up.
25,POSS-I:1023:O,ai44306,pixel_center_followup,"Centre tile: 7 <=3 arcsec H/O1023 matches; 4 Gaia <=3.5 arcsec. Two further cases persist on E1023 within 0.57/1.13 arcsec. One catalogue-weak, non-E-recurring opposite-polarity case retained as DEF-011; full grid pending."
26,POSS-I:297:O,kh00163,pixel_center_negative,"Centre tile: 24 <=3 arcsec H/O297 matches; 17 Gaia <=3.5 arcsec. Of 7 Gaia-weak cases, 3 recur on E297 within 2.30-3.06 arcsec, one is Gaia 3.51 arcsec, and the remaining 3 have Pan-STARRS within 1.24-3.29 arcsec. No survivor."
27,POSS-I:872:O,ai44088,negative_nine_tile_sample,"Nine fixed sample tiles completed after splitting around StarGlass 502; 13 official DASCH detections total, all reference-catalogued; zero unmatched."
28,POSS-I:989:O,ai44247,pixel_full_grid_followup_complete,"Full 3x3 pixel grid completed with frozen 4-sigma detector and 3-arcsec H/O matching, followed by Gaia/E989/Pan-STARRS vetoes. 25 morphology-review cases retained from rank 28 (DEF-012/013/014 and DEF-020 through DEF-041); zero defensible astrophysical transient. Rank 28 is especially useful as an empirical plate-texture/false-transient control population."
29,POSS-I:1405:O,ai44487,negative_nine_tile_sample,Nine fixed sample tiles: 6 official DASCH detections total; all reference-catalogued; zero unmatched Harvard sources.
30,POSS-I:988:O,ai44246,pixel_retrieval_blocked_stsci,Catalogue nine-tile negative. Centre POSS O988 pixel retrieval attempted via STScI DSS; service returns HTML error: calibration and image data not available for field data / image file not created. No scientific negative inferred; alternate plate source required for pixel confirmation.
31,POSS-I:236:O,kg00061,rejected_spatial_false_positive,Corrected solved-WCS polygon has no intersection with POSS field
32,POSS-I:236:O,kg00060,pixel_center_negative,"Centre tile: 7 <=3 arcsec H/O236 matches; 4 Gaia <=3.5 arcsec. Of 3 Gaia-weak cases, one recurs on E236 within 2.75 arcsec; the other two have Pan-STARRS within 0.82 and 3.24 arcsec (latter also Gaia 4.44 arcsec). No survivor."
33,POSS-I:372:O,ai43336,negative_nine_tile_sample,"Nine fixed sample tiles completed after splitting around StarGlass 502; 52 official DASCH detections total, all reference-catalogued; zero unmatched Harvard sources."
34,POSS-I:313:O,ai43246,negative_nine_tile_sample,Nine fixed sample tiles: 9 official DASCH detections total; all reference-catalogued; zero unmatched Harvard sources.
35,POSS-I:449:O,fa15108,negative_nine_tile_sample,Nine fixed sample tiles: 44 official DASCH detections total; all reference-catalogued; zero unmatched Harvard sources.
36,POSS-I:415:O,ka02650,negative_nine_tile_sample,Nine fixed sample tiles: 39 official DASCH detections total; all reference-catalogued; zero unmatched Harvard sources.
37,POSS-I:415:O,ai43439,negative_nine_tile_sample,Nine fixed sample tiles: 29 official DASCH detections total; all reference-catalogued; zero unmatched Harvard sources.
38,POSS-I:558:O,ai43708,negative_nine_tile_sample,Nine fixed sample tiles: 6 official DASCH detections total; all reference-catalogued; zero unmatched Harvard sources.
39,POSS-I:305:O,ka02473,pixel_partial_overlap_negative,"True overlap is far northern strip. Fixed strip tile at 313.86,+3.4: 9 <=3 arcsec H/O305 pixel matches; all 9 have Gaia counterparts <=3.5 arcsec. No survivor."
40,POSS-I:1009:O,ai44291,pixel_partial_overlap_followup,"Live coverage correction: true overlap is northern strip only (south/centre 422; north row 200). North-centre pixel tile: 11 <=3 arcsec H/O matches; 9 Gaia-close. Two opposite-polarity, non-red-recurring faint-static/plate-texture boundary cases retained as DEF-015/016; full strip sampling pending."
41,POSS-I:305:E,ka02474,pixel_partial_overlap_followup,"Live coverage correction: overlap only at far northern edge (~Dec +3 to +3.8 deg); centre and +/-1.5 deg probes are 422. Sample tile at 313.86,+3.4: 3 H/E305 matches; 2 Gaia-close; one borderline morphology case retained as DEF-017 (no O305 recurrence, faint PS1 ~3.12 arcsec)."
42,POSS-I:500:E,ka02737,rejected_spatial_false_positive,"Linear wide-field WCS suggested marginal cap, but DASCH cutout service returned 422 at radial and 5-point edge-arc probes"
43,POSS-I:236:O,kg00059,rejected_spatial_false_positive,Corrected solved-WCS polygon has no intersection with POSS field
44,POSS-I:445:E,j03761,rejected_bright_star_psf,True WCS; apparent 3-plate survivor embedded in G~8.8 star saturation/PSF complex
45,POSS-I:314:E,ka02481,rejected_spatial_false_positive,"Linear wide-field WCS suggested marginal cap, but DASCH cutout service returned 422 at radial and 5-point edge-arc probes"
46,POSS-I:297:O,ai43235,pixel_partial_overlap_followup,"True NE partial-overlap tile sampled at 304.3,+2.9: 19 <=3 arcsec H/O297 matches; 14 Gaia-close. Pan-STARRS/E297 resolve 3 of 5 residue; two low-strength boundary morphology controls retained as DEF-018/019. No defensible transient."
47,POSS-I:533:O,fa12840,rejected_spatial_false_positive,Centre/south/edge plus 5-point arc DASCH cutout probes all HTTP 422; local linear wide-field WCS sliver was false.
49,APPLAUSE:13623,bi05607,parked_pixel_followup,True WCS overlap; no DR7 platephot at field centre
59,APPLAUSE:131892,ax04674,parked_pixel_followup,Substantial true WCS overlap (~39% smaller field); no DR7 platephot at overlap centroid
60,APPLAUSE:12414,APPLAUSE:139005,parked_manual_astrometric_solve,High-overlap independent pair; Vatican FITS exists but no published WCS/source_calib
64,APPLAUSE:132099,bi05640,rejected_spatial_false_positive,Solved Harvard WCS polygon does not intersect Bamberg field
65,APPLAUSE:132097,b76371,parked_pixel_followup,True WCS thin-strip overlap; AP calibrated edge sparse; no corroboration of one AP unmatched-looking source
68,APPLAUSE:139012,APPLAUSE:12569,negative_calibrated_catalogue,"At 10 arcsec due coarse Vatican astrometry, 12 matches collapse to two Gaia stars; no non-Gaia match"
69,APPLAUSE:12563,APPLAUSE:139010,negative_calibrated_catalogue,6 <=3 arcsec matches collapse to one Gaia star repeated by Hamburg multi-exposure plate; no non-Gaia match
70,APPLAUSE:139011,APPLAUSE:12566,negative_calibrated_catalogue,6 <=3 arcsec matches collapse to one Gaia star; no non-Gaia match
71,APPLAUSE:12565,APPLAUSE:139011,negative_calibrated_catalogue,Same physical Hamburg/Vatican plate pair family; no non-Gaia shared source in calibrated comparison
72,APPLAUSE:12568,APPLAUSE:139012,negative_calibrated_catalogue,Same physical Hamburg/Vatican plate pair family; no non-Gaia shared source
73,APPLAUSE:13390,b75958,rejected_spatial_false_positive,Solved Harvard WCS does not intersect Hamburg field
74,APPLAUSE:13389,b75958,rejected_spatial_false_positive,Solved Harvard WCS does not intersect Hamburg field
