claim_id,claim,source,depends_on,publicly_exactly_reproducible,current_assessment,priority,next_test
C01,The Solano workflow yields 5399 unidentified transients,Solano et al. 2022,solano_unidentified,no,Final table exists but exact construction does not,critical,Recreate plausible pipeline and tile-level sensitivity sweep
C02,Published entries satisfy the stated morphology gates,Solano et al. 2022,solano_unidentified,no,Initial 35-source audit finds a material configuration-sensitive and hard-failure subset,critical,Expand stratified audit with independent PSF models
C03,Nine simultaneous April 1950 features are celestial transients,Villarroel et al. 2021,selected plate features,partly,Features exist but photographic-copy lineage and defect explanation remain contested,high,Map physical ancestry and blinded star-defect morphology
C04,Later 107875 catalogue follows the fully described Solano workflow,Villarroel et al. 2025 / Bruehl and Villarroel 2025,later_reprocessed,no,2026 response reveals material new and unpublished 2025 reprocessing,critical,Create exact statement and version chronology
C05,Transient distribution shows an Earth-shadow deficit,Villarroel et al. 2025,later_reprocessed,no,Uniform-background null contested and private source data prevents exact reproduction,critical,Plate-conditioned permutation with timing uncertainty
C06,Transient dates are associated with nuclear-test windows,Bruehl and Villarroel 2025,later_reprocessed,partly,Published day table may be testable but observing opportunity is a major confound,critical,Rebuild nightly exposure model and negative controls
C07,Transient counts are associated with UAP reports,Bruehl and Villarroel 2025,later_reprocessed,partly,Potential reporting and observation-calendar confounds; multiplicity requires audit,high,Reconstruct models and shifted-event controls
C08,Eleven Hamburg candidates independently validate the phenomenon,Busko 2026,busko_final,partly,Heavy visual curation and one manual insertion prevent treating eleven as homogeneous automated output,critical,Repository reproduction and ablation
C09,Coma proves selected images are optical rather than plate artefacts,Busko 2026,busko_final,partly,Requires blinded known-star and known-defect controls and correction for selection,high,Reproduce measurement and control-class distributions
C10,An independent pipeline recovers 63.9 percent of Solano entries,Hayes 2026,hayes_full_sweep,unclear,New preprint claim potentially important but not yet independently audited,critical,Locate code catalogue and reproduce crossmatch
C11,Nuclear-test association persists with observing coverage modelled,Hayes 2026,hayes_full_sweep,unclear,Preprint reports null coverage-adjusted result,critical,Audit code dates coverage denominator and model
C12,Current DSS DATE-OBS values can be parsed as ISO timestamps,MAST DSS raw FITS,current archive,no,False: decimal-hour hundredths occupy the ISO-looking minute field,critical,Convert all times and preserve start/midpoint uncertainty
C13,Solano catalogue candidates are systematically narrower and rounder than local stars,Later morphology interpretation,solano_unidentified,partly,Random-50 independent raw-DSS diagnostic finds no significant population difference across three brightness tolerances,high,Run segmentation thresholds and compare against frozen 35-source audit
C14,All eleven Busko cases are outputs of one uniform automated selection,Busko 2026,busko_final,no,False for the public table: one retained case was manually inserted and selective reverse/blink searches were used,critical,Treat algorithmic and manually discovered cases separately
C15,ML scores are calibrated probabilities that candidates are real,Bruehl et al. 2026,later_reprocessed,no,Unsupported: calibration collapsed and raw ensemble scores were used; exemplar prevalence is selected,critical,Independent held-out calibration on representative known controls
C16,Five-fold ML performance generalizes to unseen photographic plates,Bruehl et al. 2026,later_reprocessed,no,Unestablished: plate-aggregate predictors are used but plate-grouped folds are not documented,critical,GroupKFold or leave-plate-out validation with frozen labels
C17,The 0.692 percent geometric control fully represents the shadow null,Bruehl et al. 2026,later_reprocessed,no,No: it preserves inferred field geometry but not within-plate detection/selection and treats Monte Carlo estimate as fixed,critical,Plate-mask injection recovery with timestamp uncertainty
C18,Highly aligned groups are unlikely by chance,Villarroel et al. 2025,later_reprocessed,no,Requires the full search trial count and structured plate-aware null; public-table scan shows extreme-looking minima are expected,high,Freeze statistic and run plate-preserving randomization
C19,Daily UAP reports predict physical transient incidence,Bruehl and Villarroel 2025,later_reprocessed,no,Unresolved: private SPSS data and count models lack astronomical exposure and reporting-process controls,high,Release dataset and fit coverage/time-controlled preregistered model
