label,query_sha256,raw_votable_sha256,row_count,overflow,cached,query_file,raw_file
global_solution_max_fov_v077a,fc0982cdaae02816cca0840328d7ee4fc12d01a8b1a4c2c0bdc8e60c8e7e2300,97587c89ce2635420c089895ea4658c399e3976abb8014f38dae36561dca1c55,1,False,False,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/global_solution_max_fov_v077a.adql,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/global_solution_max_fov_v077a.vot
candidate_region_solution_scan_superset_v077a,61a86c6066c0188dc67fcb5787793e2576828484120e895c188a143baf16adc7,d839fa70433241422a42cc09e19826a0920f3edeab2b0e8765f6f81dcf66fc2c,22941,False,False,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/candidate_region_solution_scan_superset_v077a.adql,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/candidate_region_solution_scan_superset_v077a.vot
archive_inventory_v077a,6ad45a3d58fe888017b7d6884f8fb9ea7799586b8033fd758dd78cd57a805e9a,7c36c27242923a2d7e5149f4d3c8059a6c7601914eff777423ecf381ac28c846,27,False,False,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/archive_inventory_v077a.adql,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/archive_inventory_v077a.vot
plate_exposures_0000_v077a,f27c53a4d0759715ea18b3fdb8cb814dcee5126b409a00a426d775bae0c1f585,b210b5e133ec9231d6147f9f5e8fe56d365cbfdf6158024a3038094bb5b6a586,52,False,False,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0000_v077a.adql,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0000_v077a.vot
plate_exposures_0001_v077a,65e652eb1ee5432cc1ed2171e0d06d522eea8386861f2e73a39466f3ba071de2,e67efe5eeb09e3fb4f1304a9ce613426d8a778bf998af07ca23aa1842bad710d,51,False,False,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0001_v077a.adql,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0001_v077a.vot
plate_exposures_0002_v077a,ee67fdeb75c0e49bcf4893cf7d7cd211f0d4ae619538672c20c79b242acc769f,8c3b64dac5e1d13a7a5cc568500815daaef9f4e31e344695dd31b1cf6fe57bc7,69,False,False,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0002_v077a.adql,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0002_v077a.vot
plate_exposures_0003_v077a,5f40110b43aedfe221a26b23d3855e5c723090bc101ea4d9a722d08a178a3feb,be48cacb431090191a3306735a7be80ff5c4569fe98cfeb45a17fa93bf263b7d,58,False,False,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0003_v077a.adql,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0003_v077a.vot
plate_exposures_0004_v077a,fef25889e8a540f44ec4801fa4719a612610c8d8162ccfccb9ad8743e2022cef,63b832f1b8af4358403846c56f64d06ffdfde73530b58956ef5e5dd6003fcefc,50,False,False,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0004_v077a.adql,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0004_v077a.vot
plate_exposures_0005_v077a,2517464bb32aa5ebca941798bb310753e0ccb46402fef30d4513f49ec6766e93,3e9934f13591ce860b3e084fdbb0d56c77fbab3b5b7f081c99a1b196cd456f35,52,False,False,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0005_v077a.adql,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0005_v077a.vot
plate_exposures_0006_v077a,c4596638befd94bf9e5af6c73806112baf78ace9c1f5eb1be9202d2486099453,2565f8d5cbd26d684b4003bf63d5ac49d66c2cd6f61cca2af0d038e97de3760d,56,False,False,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0006_v077a.adql,results/pair17_applause_independent_plate_opportunity_census_v077a/cache/plate_exposures_0006_v077a.vot
